"Galaxy","Type","N_GC","N_GC_err","MV_T","err_MV_T"
"NGC2915","S",NA,0,-16.12,0.2
"NGC2902","S0",35,20,-20.62,0.31
"NGC3056","S0",23,10,-19.06,0.41
"NGC3031","S",300,100,-21.08,0.2
"NGC3073","E",130,20,-19.27,1.44
"ESO-499-037","S",14,11,-19.15,0.2
"NGC3115","S0",550,80,-21.19,0.2
"NGC3115DW1","E",60,20,-17.64,0.2
"IKN","E",5,2,-11.51,0.2
"NGC3156","S0",115,15,-19.56,0.27
"CGCG065-015","E",2160,780,-22.3,0.2
"NGC3226","E",470,200,-20.53,0.46
"IC613","E",1330,440,-21.85,0.2
"NGC3258","E",6000,150,-21.33,0.33
"NGC3268","E",4750,150,-21.6,0.34
"NGC3259","S",29,16,-20.35,0.3
"NGC3311","E",16500,2000,-21.84,0.2
"NGC3348","E",3100,1000,-22.19,0.31
"NGC3377","E",191,15,-19.95,0.2
"NGC3379","E",216,42,-20.9,0.2
"NGC3384","S0",120,30,-20.49,0.2
"LGC-0050","E",8,4,-14.13,0.2
"NGC3414","S0",400,200,-21.1,0.42
"NGC3455","S",27,14,-17.86,0.2
"NGC3489","S0",100,50,-20.18,0.2
"UGC-6203","E",4880,1400,-22.1,0.2
"NGC3557","E",1075,740,-23.25,0.29
"NGC3550","S0",6600,1650,-22.8,0.3
"NGC3556","S",290,80,-20.5,0.2
"NGC3585","E",300,100,-21.81,0.23
"NGC3599","S0",29,10,-19.66,0.33
"NGC3607","S0",600,200,-21.5,0.2
"NGC3608","E",450,200,-21.11,0.2
"NGC3610","E",400,150,-22.02,0.27
"IC712","E",3470,910,-22.68,0.2
"NGC3818","E",590,40,-21.21,0.88
"NGC3842","E",12000,3000,-23.14,0.2
"NGC3870","S0",13,5,-17.68,0.27
"NGC3923","E",2800,300,-22.28,0.54
"NGC4013","S",190,40,-20.07,0.31
"NGC4033","E",160,15,-20.08,0.37
"NGC4073","E",8300,500,-23.29,0.2
"IC3019","E",26,6,-18.04,0.2
"IC3025","S0",21,6,-16.83,0.2
"NGC4150","S0",7,4,-19.11,0.39
"NGC4157","S",80,20,-19.66,0.2
"IC3032","E",2,4,-16.39,0.2
"NGC4163","Irr",2,2,-14.21,0.2
"KKH-77","Irr",2,2,-14.58,0.2
"NGC4203","E",175,100,-20.08,0.42
"IC3065","S0",21,6,-17.51,0.2
"VCC-158","E",10,5,-15.98,0.2
"NGC4216","S",620,310,-21.81,0.2
"VCC-200","E",16,6,-17.12,0.2
"IC3101","E",29,7,-16.21,0.2
"VCC-240","E",8,5,-13.61,0.2
"IC3131","E",8,3,-17.6,0.2
"NGC4261","E",1242,250,-22.14,0.21
"NGC4262","S0",100,31,-19.51,0.2
"UGC-7369","E",22,7,-16.17,0.2
"NGC4267","S0",179,17,-20.22,0.2
"NGC4278","E",1100,300,-20.97,0.34
"NGC4291","E",950,170,-20.74,0.38
"VCC-437","S0",42,8,-17.82,0.2
"VCC-452","E",18,6,-15.88,0.2
"VCC-503","E",3,4,-14.88,0.2
"VCC-529","E",4,4,-13.47,0.2
"NGC4309A","E",1,4,-16.24,0.2
"VCC-543","S0",18,6,-17.41,0.2
"VCC-571","S0",11,6,-17.32,0.2
"NGC4318","E",18,6,-18.5,0.21
"VCC-646","E",5,5,-12.9,0.2
"NGC4340","Irr",45,16,-17.56,0.43
"NGC4350","S0",196,60,-20.05,0.2
"NGC4352","S0",114,12,-18.86,0.2
"NGC4365","E",3246,598,-22.35,0.2
"VCC-747","E",16,6,-15.47,0.2
"IC3292","S0",9,4,-16.97,0.2
"NGC4371","S0",200,41,-20.46,0.2
"NGC4374","E",4301,1201,-22.36,0.2
"NGC4377","S0",74,32,-19.48,0.2
"NGC4379","S0",50,14,-19.36,0.2
"NGC4382","S0",1110,181,-22.25,0.2
"NGC4387","E",70,10,-19.27,0.2
"IC3328","E",43,8,-17.57,0.2
"VCC-871","E",18,6,-16.36,0.2
"NGC4406","E",2800,200,-22.36,0.2
"VCC-896","E",5,5,-13.97,0.2
"VCC-940","E",61,10,-16.96,0.2
"NGC4417","S0",72,10,-20,0.2
"NGC4417","S0",72,10,-20,0.2
"VCC-949","E",23,7,-16.57,0.2
"VCC-965","E",15,5,-16.37,0.2
"VCC-992","E",4,5,-15.87,0.2
"NGC4431","S0",11,5,-18.2,0.2
"NGC4434","E",141,34,-19.68,0.2
"NGC4435","S0",345,80,-20.4,0.2
"VCC-1049","S0",8,4,-16.69,0.2
"NGC4442","S0",178,30,-20.56,0.2
"VCC-1073","E",20,7,-17.54,0.2
"VCC-1077","E",2,5,-12.55,0.2
"NGC4449","Irr",12,5,-18.56,0.24
"IC3383","E",16,5,-16.78,0.2
"IC3381","E",66,10,-17.79,0.2
"VCC-1105","E",5,4,-15.55,0.2
"VCC-1104","E",8,6,-16.2,0.2
"VCC-1107","E",25,6,-16.58,0.2
"NGC4452","S0",52,8,-19.12,0.2
"NGC4458","E",72,12,-19.07,0.2
"NGC4459","S0",218,28,-20.81,0.2
"VCC-1167","E",14,9,-16,0.2
"NGC4464","S",25,9,-18.56,0.2
"VCC-1185","E",14,6,-16.77,0.2
"NGC4472","E",7000,800,-22.82,0.2
"NGC4473","E",376,97,-20.81,0.2
"NGC4474","S0",116,24,-19.59,0.2
"NGC4476","S0",20,7,-19.14,0.2
"VCC-1252","E",8,5,-12.87,0.2
"VCC-1254","E",26,11,-16.67,0.2
"NGC4482","E",35,8,-19.64,0.2
"VCC-1272","E",3,4,-13.23,0.2
"NGC4478","E",58,11,-19.79,0.2
"NGC4479","S0",59,9,-18.86,0.2
"NGC4486B","E",4,11,-17.77,0.2
"NGC4483","S0",72,18,-18.96,0.2
"VCC-1308","E",8,5,-16.59,0.2
"VCC-1311","E",20,6,-16,0.2
"NGC4486","E",13000,800,-22.61,0.2
"NGC4489","E",31,9,-19.03,0.2
"NGC4486A","E",11,12,-18.7,0.2
"VCC-1333","E",11,8,-14.9,0.2
"IC3442","E",11,6,-17.51,0.2
"NGC4494","E",392,49,-21.4,0.2
"VCC-1363","E",0,3,-12.67,0.2
"VCC-1386","E",27,7,-17.34,0.2
"VCC-1386","E",26,12,-16.9,0.2
"IC3461","E",50,9,-16.72,0.2
"IC3468","E",25,6,-17.97,0.2
"IC3470","E",61,9,-17.39,0.2
"IC798","E",27,7,-16.86,0.2
"NGC4517","S",270,60,-19.52,0.33
"NGC4515","S0",81,10,-18.79,0.2
"IC3487","E",7,4,-16.78,0.2
"IC3490","E",12,5,-15.61,0.2
"VCC-1497","E",6,5,-16.01,0.2
"IC3492","E",19,7,-16.53,0.2
"VCC-1512","S0",5,4,-16.25,0.2
"VCC-1514","E",2,3,-16.57,0.2
"IC3501","E",41,8,-17.16,0.2
"VCC-1530","E",8,5,-13.37,0.2
"NGC4526","S0",388,117,-21.51,0.22
"NGC4528","S0",31,7,-19.08,0.2
"VCC-1539","E",31,7,-16.05,0.2
"IC3509","E",54,9,-16.91,0.2
"VCC-1577","E",15,6,-15.89,0.2
"IC3540","S0",26,10,-17.1,0.2
"NGC4550","S0",84,19,-19.39,0.2
"VCC-1627","E",4,4,-16.46,0.2
"NGC4551","E",47,11,-19.15,0.2
"NGC4552","E",1100,200,-20.39,0.2
"NGC4565","S",204,60,-21.68,0.27
"VCC-1661","E",10,5,-15.81,0.2
"NGC4564","E",213,31,-20,0.2
"NGC4570","S0",139,23,-20.34,0.2
"IC3586","S0",14,6,-17.49,0.2
"NGC4589","E",1052,162,-21.07,0.28
"VCC-1714","E",0,4,-13.2,0.2
"NGC4578","S0",62,13,-19.62,0.2
"IC3602","E",10,6,-16.33,0.2
"IC3612","S0",2,4,-16.9,0.2
"NGC4605","S",22,7,-18.41,0.2
"NGC4594","S",1900,200,-22.12,0.2
"IC3633","E",4,4,-16.03,0.2
"IC3635","S",20,6,-16.78,0.2
"VCC-1833","E",18,6,-17.13,0.2
"IC3651","S0",2700,780,-21,0.2
"IC3647","Irr",11,6,-16.64,0.2
"IC3652","E",38,7,-17.6,0.2
"IC3653","E",10,5,-17.31,0.2
"VCC-1876","E",26,7,-16.8,0.2
"NGC4612","S0",83,25,-21.12,0.2
"VCC-1886","E",4,3,-16.25,0.2
"VCC-1895","E",6,4,-16.6,0.2
"NGC4621","E",803,355,-21.34,0.2
"IC809","E",49,8,-17.39,0.2
"NGC4623","S0",71,14,-19.94,0.2
"NGC4638","S0",60,9,-20.1,0.2
"NGC4636","E",4200,120,-21.43,0.2
"VCC-1948","E",2,3,-16.06,0.2
"NGC4649","E",4000,500,-22.41,0.2
"NGC4660","E",205,28,-19.74,0.2
"IC3735","E",24,6,-17.36,0.2
"NGC4673","E",750,290,-21.28,0.2
"IC3773","E",17,5,-17.85,0.2
"IC3779","E",9,4,-16.36,0.2
"NGC4697","E",229,70,-21.27,0.2
"NGC4754","S0",110,12,-20.53,0.2
"NGC4762","S0",240,25,-21.7,0.24
"NGC4816","E",6100,1400,-22.25,0.35
"A1644-1","E",17700,4600,-23.7,0.2
"NGC4839","E",6500,2000,-23.16,0.2
"NGC4840","E",1290,620,-21.12,0.28
"IC3959","E",880,330,-20.99,0.2
"PGC044560","E",2150,650,-20.88,0.2
"IC3976","E",920,250,-20.53,0.2
"NGC4874","E",20000,2000,-23.48,0.26
"NGC4881","E",295,89,-20.47,0.23
"NGC4886","E",1220,480,-21.06,0.25
"IC4012","E",620,410,-20.41,0.2
"NGC4889","E",11000,2000,-23.47,0.2
"IC4021","E",160,159,-20.16,0.2
"IC4026","S0",650,190,-21.01,0.2
"IC4041","E",470,160,-20.86,0.2
"IC4045","E",1100,510,-21.39,0.2
"IC4051","E",6700,530,-21.26,0.2
"NGC4926","E",1300,300,-22.36,0.25
"NGC4980","S",43,27,-19.9,0.2
"ESO-269-58","Irr",8,3,-15.78,0.2
"NGC5018","E",1000,300,-22.34,0.4
"ESO-269-66","E",4,2,-13.89,0.2
"NGC5102","S0",7,6,-18.14,0.2
"KKS-55","E",1,1,-11.17,0.2
"NGC5128","E",1300,300,-21.26,0.2
"ESO-509-G008","E",6000,1500,-23.35,0.2
"ESO-444-G046","E",32500,8000,-23.8,0.2
"NGC5170","S",500,200,-20.8,0.59
"NGC5194","S",220,45,-21.16,0.2
"NGC5193","E",5878,355,-21.53,0.33
"IC4296","E",6400,300,-23.08,0.2
"NGC5236","S",43,12,-21,0.2
"NGC5237","Irr",3,2,-15.45,0.2
"UGC-8638","Irr",3,2,-13.69,0.2
"ESO-383-G076","E",22500,5500,-24.1,0.2
"IC4329","E",2970,530,-23.09,0.35
"NGC5322","E",1600,500,-22.29,0.28
"NGC5457","S",150,40,-21.36,0.22
"NGC5557","E",3500,1000,-21.96,0.5
"ESO-223-09","Irr",8,3,-16.47,0.2
"NGC5813","E",2900,400,-22.27,0.23
"NGC5845","E",180,30,-19.77,0.26
"NGC5846","E",4670,1195,-22.12,0.25
"NGC5866","S0",370,70,-21.08,0.2
"ESO-274-01","S",10,3,-17.47,0.2
"NGC5907","S",170,65,-20.3,0.55
"UGC-9799","E",18000,4500,-23.1,0.2
"NGC5982","E",1497,202,-22.02,0.2
"UGC-9958","E",27000,13000,-23.3,0.4
"A2124-1","E",17900,4700,-23.5,0.2
"A2147-1","E",13100,3300,-23.08,0.2
"UGC-10143","E",14000,3500,-23,0.2
"NGC6041A","S0",19800,4900,-22,0.3
"NGC6039","E",5030,300,-22.08,0.24
"A2152-2","S0",5100,340,-21.42,0.2
"A2152-1","E",7800,2060,-22.6,0.2
"NGC6086","E",9200,2500,-23.04,0.22
"ESO-137-18","S",7,3,-17.91,0.5
"NGC6160","E",4560,1080,-22.77,1
"NGC6166","E",17000,4000,-23.7,0.27
"NGC6173","E",4600,2600,-23.41,0.28
"NGC6384","S",60,13,-22.06,0.42
"NGC6397-GAL1","E",1600,600,-20.5,1
"NGC6482","E",1140,87,-22.63,0.2
"NGC6703","E",610,200,-21.1,0.44
"Sagittarius-dE","E",6,2,-13.9,0.5
"NGC6822","Irr",7,1,-15.5,0.3
"ESO-185-IG013","S",20,10,-19.84,0.36
"KK-246","Irr",2,2,-13.77,0.2
"NGC6861","E",1860,600,-21.31,0.53
"NGC6946","S",90,40,-21.24,0.33
"NGC7014","E",1634,88,-21.19,0.2
"NGC7049","S0",2700,800,-21.89,0.27
"NGC7173","E",400,30,-20.54,0.33
"IC5176","S",132,25,-20.63,0.2
"NGC7331","S",210,130,-21.71,0.2
"NGC7332","S0",175,15,-20.83,0.25
"NGC7339","S",75,10,-20.39,0.25
"IC1459","E",2100,730,-22.04,0.2
"NGC7457","S0",160,50,-19.58,0.25
"NGC7626","E",2833,300,-22.51,0.2
"NGC7720","E",18000,4600,-23.35,0.35
"NGC7727","S",850,320,-21.25,0.2
"NGC7768","E",3000,1300,-23.07,0.2
"NGC7793","S",17,5,-19.35,0.2
