"redshift","g.r","g.r_err","fracdeV","type"
0.0608,0.622,0.015,0.17,0
0.0661,0.581,0.016,0.33,0
0.0772,0.646,0.016,0.19,0
0.0577,0.584,0.116,0.21,0
0.0444,0.544,0.017,0,0
0.0416,0.512,0.017,0.04,0
0.0771,0.584,0.018,0.03,0
0.0752,0.597,0.021,0.03,0
0.0595,0.636,0.015,0.14,0
0.069,0.532,0.024,0.12,0
0.0595,0.577,0.022,0,0
0.0463,0.501,0.016,0,0
0.0634,0.53,0.026,0.12,0
0.0602,0.523,0.018,0,0
0.0741,0.569,0.12,0.02,0
0.0693,0.351,0.052,0.22,0
0.0626,0.459,0.015,0.38,0
0.0511,0.62,0.045,0.01,0
0.0403,0.561,0.045,0.14,0
0.0453,0.404,0.021,0,0
0.0636,0.581,0.023,0.01,0
0.0517,0.482,0.016,0.15,0
0.0809,0.464,0.025,0.26,0
0.0794,0.654,0.019,0.47,0
0.0571,0.656,0.016,0.35,0
0.0642,0.612,0.016,0.27,0
0.062,0.373,0.018,0.17,0
0.0319,0.484,0.178,0,0
0.0744,0.413,0.024,0.01,0
0.0641,0.581,0.023,0.03,0
0.072,0.576,0.017,0.1,0
0.0797,0.619,0.018,0.26,0
0.0333,0.52,0.016,0,0
0.0688,0.392,0.025,0.01,0
0.0574,0.485,0.016,0.24,0
0.0363,0.571,0.015,0.06,0
0.0332,0.634,0.018,0.17,0
0.0746,0.461,0.021,0.04,0
0.0639,0.643,0.022,0,0
0.082,0.394,0.138,0.06,0
0.0436,0.455,0.016,0.07,0
0.0787,0.589,0.021,0.42,0
0.0798,0.591,0.021,0.33,0
0.0657,0.554,0.03,0.01,0
0.0519,0.551,0.019,0,0
0.0449,0.438,0.015,0.34,0
0.0441,0.441,0.017,0.1,0
0.0803,0.636,0.018,0.14,0
0.0767,0.338,0.042,0.12,0
0.0373,0.415,0.309,0.15,0
0.0326,0.514,0.015,0.04,0
0.0699,0.61,0.018,0.13,0
0.0445,0.483,0.019,0,0
0.0808,0.35,0.025,0.26,0
0.0802,0.586,0.019,0.25,0
0.0813,0.555,0.025,0.19,0
0.0437,0.64,0.015,0.23,0
0.032,0.465,0.016,0,0
0.0504,0.57,0.018,0.41,0
0.0689,0.521,0.024,0,0
0.0647,0.447,0.026,0.05,0
0.071,0.522,0.019,0.19,0
0.0785,0.416,0.024,0.13,0
0.0783,0.642,0.041,0.19,0
0.0619,0.423,0.02,0.04,0
0.0738,0.579,0.019,0.1,0
0.0786,0.646,0.04,0.29,0
0.083,0.474,0.021,0.01,0
0.061,0.296,0.023,0.41,0
0.0772,0.59,0.03,0.05,0
0.0686,0.578,0.024,0.11,0
0.0613,0.447,0.016,0.04,0
0.058,0.53,0.017,0.09,0
0.0517,0.542,0.016,0.35,0
0.0395,0.462,0.02,0.23,0
0.0594,0.544,0.019,0.02,0
0.0749,0.558,0.02,0.12,0
0.0773,0.419,0.049,0,0
0.0399,0.537,0.027,0,0
0.0359,0.57,0.017,0,0
0.0675,0.59,0.019,0.18,0
0.083,0.64,0.018,0.08,0
0.0535,0.459,0.02,0,0
0.0527,0.598,0.016,0.42,0
0.0655,0.529,0.019,0.26,0
0.0821,0.532,0.018,0.12,0
0.0493,0.492,0.018,0.42,0
0.0728,0.609,0.022,0.01,0
0.0373,0.527,0.015,0.25,0
0.0675,0.563,0.02,0.15,0
0.0312,0.526,0.018,0.01,0
0.0671,0.613,0.017,0.35,0
0.0793,0.465,0.024,0.06,0
0.0776,0.602,0.021,0.47,0
0.0788,0.552,0.016,0.07,0
0.0548,0.516,0.02,0.06,0
0.0656,0.468,0.017,0,0
0.0658,0.563,0.024,0.02,0
0.0482,0.566,0.02,0.11,0
0.0556,0.501,0.024,0.04,0
0.0398,0.517,2.489,0.05,0
0.0616,0.445,0.019,0,0
0.0442,0.518,0.015,0.08,0
0.0759,0.536,0.017,0.01,0
0.053,0.463,0.021,0.03,0
0.0418,0.615,0.017,0,0
0.0489,0.568,0.016,0.37,0
0.0414,0.556,0.016,0.2,0
0.0515,0.499,0.018,0,0
0.0778,0.523,0.022,0.24,0
0.0717,0.52,0.019,0.02,0
0.0666,0.507,0.017,0.17,0
0.0808,0.436,0.023,0,0
0.0801,0.537,0.019,0.26,0
0.0541,0.552,0.016,0,0
0.063,0.526,0.019,0,0
0.0546,0.612,0.023,0.39,0
0.0613,0.485,0.02,0,0
0.0684,0.542,0.019,0.18,0
0.0547,0.61,0.017,0.23,0
0.0583,0.522,0.018,0.03,0
0.0729,0.639,0.017,0.29,0
0.0798,0.624,0.016,0.4,0
0.0662,0.486,0.021,0.22,0
0.0611,0.578,0.016,0.09,0
0.0487,0.37,0.02,0.07,0
0.0772,0.506,0.018,0,0
0.0659,0.528,0.018,0.05,0
0.0565,0.499,0.022,0.11,0
0.0537,0.597,0.017,0.13,0
0.056,0.514,0.018,0.29,0
0.0725,0.514,0.018,0.04,0
0.0815,0.511,0.023,0.13,0
0.0652,0.524,0.017,0.44,0
0.0812,0.549,0.02,0.05,0
0.0445,0.644,0.018,0,0
0.0527,0.511,0.017,0.26,0
0.0837,0.38,0.033,0.47,0
0.0372,0.489,0.014,0.34,0
0.0553,0.494,0.02,0.04,0
0.0762,0.537,0.017,0.34,0
0.0456,0.451,0.016,0.22,0
0.0785,0.604,0.045,0.12,0
0.0319,0.59,0.016,0.15,0
0.0833,0.604,0.018,0.04,0
0.0424,0.569,0.016,0.15,0
0.0838,0.571,0.021,0.17,0
0.0662,0.591,0.024,0.19,0
0.0527,0.495,0.017,0.14,0
0.0826,0.502,0.019,0.31,0
0.0397,0.564,0.016,0.11,0
0.0833,0.434,0.022,0.11,0
0.0401,0.483,0.015,0.09,0
0.056,0.439,0.018,0.04,0
0.0653,0.588,0.016,0.33,0
0.057,0.588,0.017,0.12,0
0.0544,0.382,0.024,0.21,0
0.0839,0.483,0.017,0.05,0
0.0608,0.537,0.018,0,0
0.0769,0.513,0.019,0.37,0
0.0559,0.559,0.016,0.26,0
0.0629,0.471,0.024,0.43,0
0.0719,0.633,0.018,0.25,0
0.0361,0.384,0.047,0.13,0
0.0459,0.487,0.017,0.1,0
0.0657,0.603,0.019,0.38,0
0.0549,0.484,0.02,0,0
0.0392,0.505,0.015,0.14,0
0.0843,0.587,0.024,0.49,0
0.0752,0.478,0.02,0,0
0.0404,0.526,0.017,0.38,0
0.0624,0.453,0.02,0,0
0.0619,0.364,0.018,0.1,0
0.0426,0.602,0.491,0,0
0.0716,0.605,0.018,0,0
0.0574,0.595,0.019,0.15,0
0.0847,0.536,0.02,0.03,0
0.0407,0.467,0.018,0.05,0
0.0653,0.547,0.017,0.29,0
0.0562,0.607,0.022,0.1,0
0.0772,0.562,0.019,0.36,0
0.0516,0.557,0.018,0.29,0
0.0656,0.539,0.086,0,0
0.0633,0.58,0.021,0.46,0
0.0717,0.632,0.02,0.49,0
0.0771,0.65,0.029,0.33,0
0.0641,0.507,0.027,0,0
0.078,0.442,0.023,0.27,0
0.0662,0.5,0.025,0.45,0
0.0543,0.557,0.026,0,0
0.0572,0.4,0.024,0.16,0
0.0731,0.352,0.018,0,0
0.0656,0.453,0.025,0,0
0.0521,0.663,0.017,0.16,0
0.0679,0.509,0.018,0.02,0
0.057,0.416,0.019,0.14,0
0.047,0.479,0.018,0.13,0
0.0762,0.443,0.023,0.29,0
0.0814,0.592,0.018,0.22,0
0.057,0.511,0.02,0.04,0
0.0716,0.514,0.018,0.21,0
0.0312,0.36,0.016,0,0
0.0686,0.272,0.021,0.32,0
0.0436,0.542,0.02,0.37,0
0.0527,0.601,0.017,0.04,0
0.075,0.618,0.016,0.17,0
0.052,0.56,0.025,0.41,0
0.0837,0.423,0.021,0.08,0
0.0598,0.557,0.016,0.17,0
0.0453,0.458,0.02,0.17,0
0.063,0.624,0.016,0.21,0
0.0734,0.465,0.024,0,0
0.0649,0.55,0.017,0,0
0.0779,0.622,0.017,0.24,0
0.0318,0.468,0.02,0.15,0
0.0426,0.635,0.015,0.32,0
0.0715,0.587,0.018,0,0
0.052,0.571,0.016,0,0
0.0571,0.576,0.016,0,0
0.062,0.44,0.025,0.23,0
0.0408,0.386,0.016,0.27,0
0.0429,0.621,0.015,0.18,0
0.0381,0.54,0.015,0.08,0
0.0462,0.574,0.02,0,0
0.0759,0.56,0.021,0.02,0
0.0738,0.522,0.016,0.13,0
0.0686,0.526,0.02,0.04,0
0.0619,0.519,0.02,0,0
0.0745,0.632,0.018,0.38,0
0.0793,0.463,0.017,0.41,0
0.0377,0.419,0.015,0.13,0
0.0556,0.568,0.027,0,0
0.0684,0.576,0.017,0.04,0
0.0383,0.306,0.018,0.08,0
0.0738,0.567,0.025,0.05,0
0.0481,0.395,0.018,0,0
0.0779,0.509,0.027,0.39,0
0.0824,0.461,0.023,0,0
0.0526,0.587,0.017,0.48,0
0.0483,0.518,0.017,0.3,0
0.074,0.51,0.02,0,0
0.0622,0.522,0.084,0.26,0
0.0505,0.515,0.018,0.29,0
0.0756,0.585,0.016,0.35,0
0.0544,0.535,0.019,0.37,0
0.0802,0.506,0.022,0.17,0
0.0822,0.537,0.02,0,0
0.0314,0.541,0.016,0.07,0
0.0797,0.451,0.019,0.01,0
0.0463,0.492,0.018,0,0
0.0701,0.339,0.024,0.13,0
0.0681,0.558,0.019,0,0
0.0379,0.644,0.015,0.28,0
0.0464,0.595,0.021,0.44,0
0.0368,0.574,0.015,0.31,0
0.0662,0.528,0.023,0,0
0.0849,0.523,0.017,0.01,0
0.0563,0.51,0.018,0.32,0
0.067,0.493,0.021,0.14,0
0.0739,0.503,0.019,0,0
0.0742,0.515,0.015,0.31,0
0.0671,0.506,0.019,0.17,0
0.0627,0.635,0.017,0.01,0
0.0324,0.39,0.016,0.08,0
0.0324,0.343,0.021,0.14,0
0.0676,0.535,0.018,0,0
0.0544,0.635,0.015,0.48,0
0.0799,0.504,0.03,0,0
0.0684,0.643,0.568,0.1,0
0.0523,0.524,0.016,0,0
0.0842,0.431,0.033,0.11,0
0.0519,0.609,0.017,0.41,0
0.073,0.549,0.029,0,0
0.0773,0.439,0.031,0.23,0
0.0615,0.515,0.016,0.11,0
0.0786,0.528,0.02,0.1,0
0.0532,0.432,0.016,0.18,0
0.0834,0.404,0.021,0.19,0
0.08,0.506,0.025,0,0
0.0758,0.62,0.02,0,0
0.0827,0.639,0.019,0.4,0
0.0567,0.563,0.016,0,0
0.0554,0.59,0.017,0.34,0
0.0547,0.576,0.017,0.19,0
0.0657,0.509,0.028,0.11,0
0.0532,0.502,0.024,0.22,0
0.06,0.61,0.021,0,0
0.082,0.497,0.023,0.04,0
0.08,0.553,0.02,0.24,0
0.0746,0.48,0.019,0.18,0
0.0836,0.652,0.019,0.24,0
0.0752,0.381,0.368,0.09,0
0.0711,0.635,0.018,0.22,0
0.0604,0.417,0.028,0.18,0
0.0727,0.554,0.017,0.19,0
0.0653,0.536,0.017,0.29,0
0.0633,0.454,0.025,0.11,0
0.052,0.605,0.015,0.35,0
0.0587,0.524,0.019,0.15,0
0.0449,0.527,0.016,0,0
0.0609,0.513,0.018,0.31,0
0.0671,0.579,0.017,0.33,0
0.0429,0.529,0.017,0.06,0
0.0614,0.592,0.017,0.28,0
0.0702,0.553,0.019,0,0
0.0301,0.553,0.017,0.06,0
0.042,0.512,0.018,0.08,0
0.071,0.328,0.019,0.34,0
0.0521,0.621,0.02,0.33,0
0.056,0.437,0.021,0.12,0
0.065,0.492,0.022,0.06,0
0.0633,0.472,0.017,0.13,0
0.064,0.619,0.026,0.35,0
0.0655,0.496,0.018,0.22,0
0.0728,0.576,0.018,0.19,0
0.0596,0.428,0.033,0.09,0
0.0433,0.513,0.018,0.2,0
0.0748,0.591,0.017,0.09,0
0.0726,0.416,0.017,0.11,0
0.0673,0.621,0.017,0.08,0
0.0411,0.562,0.015,0.22,0
0.0658,0.645,0.02,0.14,0
0.0813,0.572,0.017,0.21,0
0.0656,0.531,0.023,0,0
0.0733,0.527,0.023,0,0
0.0454,0.488,0.016,0,0
0.0428,0.663,0.015,0.46,0
0.0779,0.556,0.017,0.33,0
0.0618,0.49,0.018,0,0
0.0607,0.467,0.023,0,0
0.0459,0.57,0.016,0,0
0.0434,0.583,0.016,0.41,0
0.0637,0.491,0.026,0.07,0
0.0553,0.471,0.025,0.1,0
0.0613,0.47,0.018,0.08,0
0.0792,0.6,0.027,0.49,0
0.04,0.494,0.018,0.09,0
0.0392,0.478,0.016,0,0
0.0465,0.343,0.017,0.06,0
0.0802,0.599,0.02,0.31,0
0.0486,0.384,0.017,0.08,0
0.0507,0.501,0.016,0.49,0
0.0773,0.548,0.018,0,0
0.041,0.589,0.026,0.04,0
0.0719,0.569,0.018,0.35,0
0.0542,0.563,0.017,0.45,0
0.0705,0.612,0.016,0.12,0
0.0667,0.414,0.022,0.17,0
0.0432,0.564,0.021,0,0
0.0638,0.524,0.016,0.29,0
0.083,0.668,0.018,0.46,0
0.0802,0.632,0.017,0.28,0
0.0839,0.657,0.022,0.32,0
0.0841,0.643,0.018,0.09,0
0.0715,0.553,0.021,0,0
0.0444,0.447,0.025,0.03,0
0.0515,0.542,0.017,0,0
0.0493,0.378,0.018,0.4,0
0.037,0.435,0.016,0.1,0
0.0684,0.596,0.017,0.01,0
0.0573,0.581,0.021,0.23,0
0.0669,0.455,0.037,0.06,0
0.0455,0.572,0.016,0,0
0.0835,0.432,0.022,0.15,0
0.0308,0.528,0.017,0,0
0.0849,0.414,0.027,0.11,0
0.0436,0.6,0.015,0,0
0.0496,0.607,0.016,0.28,0
0.0792,0.416,0.026,0.29,0
0.0544,0.438,0.017,0,0
0.0585,0.573,0.017,0.15,0
0.0518,0.471,0.019,0,0
0.0477,0.545,0.016,0.2,0
0.0372,0.448,0.016,0.26,0
0.0636,0.532,0.792,0.23,0
0.0382,0.584,0.02,0.46,0
0.0638,0.583,0.021,0.12,0
0.0644,0.467,0.016,0,0
0.0542,0.604,0.015,0.35,0
0.0716,0.527,0.027,0,0
0.066,0.672,0.016,0.2,0
0.0537,0.588,0.017,0.01,0
0.0546,0.537,0.027,0.14,0
0.0593,0.502,0.018,0.24,0
0.0743,0.635,0.016,0.41,0
0.066,0.528,0.017,0.29,0
0.0529,0.609,0.018,0.12,0
0.0759,0.418,0.02,0,0
0.0632,0.615,0.018,0.24,0
0.0531,0.534,0.017,0.18,0
0.0814,0.582,0.021,0.3,0
0.0581,0.599,0.017,0,0
0.0659,0.536,0.018,0.14,0
0.0399,0.622,0.017,0.16,0
0.0635,0.639,0.019,0.39,0
0.0704,0.548,0.016,0.13,0
0.0585,0.614,0.017,0,0
0.0649,0.618,0.015,0.46,0
0.0402,0.569,0.027,0.41,0
0.0538,0.412,0.021,0.22,0
0.069,0.559,0.017,0.34,0
0.063,0.57,0.017,0.22,0
0.059,0.341,0.023,0,0
0.0368,0.592,0.015,0.36,0
0.0591,0.666,0.103,0.23,0
0.0833,0.586,0.018,0.02,0
0.064,0.398,0.02,0.45,0
0.0846,0.626,0.017,0.17,0
0.0452,0.64,0.017,0.02,0
0.0564,0.353,0.019,0.24,0
0.0813,0.619,0.029,0.04,0
0.0773,0.409,0.017,0.1,0
0.0535,0.486,0.02,0.14,0
0.0404,0.613,0.016,0.42,0
0.0709,0.41,0.027,0,0
0.0723,0.639,0.019,0.13,0
0.0365,0.455,0.017,0.13,0
0.0321,0.533,0.015,0.37,0
0.0728,0.548,0.018,0.36,0
0.0839,0.535,0.017,0.17,0
0.0583,0.59,0.019,0.41,0
0.0612,0.365,0.024,0.35,0
0.053,0.558,0.018,0,0
0.0825,0.459,0.035,0,0
0.0652,0.613,0.017,0.06,0
0.074,0.416,0.023,0,0
0.0658,0.322,0.022,0.5,0
0.0822,0.599,0.021,0.24,0
0.0472,0.44,0.018,0,0
0.083,0.535,0.017,0.09,0
0.0668,0.391,0.024,0.32,0
0.0678,0.568,0.017,0.15,0
0.0758,0.671,0.016,0.25,0
0.0658,0.64,0.016,0.31,0
0.0593,0.462,0.02,0,0
0.0708,0.558,0.022,0.02,0
0.0625,0.597,0.016,0.42,0
0.0598,0.501,0.018,0.36,0
0.0568,0.498,0.015,0,0
0.0679,0.417,0.066,0,0
0.036,0.603,0.017,0.13,0
0.0494,0.502,0.016,0.08,0
0.0345,0.495,0.015,0,0
0.0615,0.516,0.016,0,0
0.0567,0.567,0.019,0.04,0
0.0415,0.454,0.016,0.23,0
0.0488,0.506,0.019,0.16,0
0.0561,0.518,0.023,0.13,0
0.0653,0.428,0.023,0.03,0
0.0521,0.537,0.017,0.12,0
0.0649,0.471,0.021,0.23,0
0.0727,0.393,0.033,0.11,0
0.0613,0.605,0.016,0.14,0
0.0478,0.418,0.02,0.11,0
0.077,0.479,0.019,0,0
0.084,0.621,0.018,0.12,0
0.0509,0.617,0.016,0.15,0
0.0627,0.521,0.022,0.26,0
0.0354,0.403,0.016,0.04,0
0.0393,0.634,0.016,0.33,0
0.0774,0.435,0.024,0.12,0
0.0693,0.56,0.021,0.31,0
0.051,0.352,0.015,0.25,0
0.0728,0.633,0.017,0.11,0
0.0471,0.36,0.02,0,0
0.0704,0.526,0.019,0.12,0
0.0701,0.626,0.016,0.34,0
0.0431,0.462,0.017,0.02,0
0.0737,0.433,0.017,0.18,0
0.0371,0.583,0.015,0.42,0
0.0379,0.42,0.017,0,0
0.0818,0.555,0.025,0.38,0
0.0577,0.409,0.022,0.17,0
0.0517,0.347,0.018,0,0
0.0765,0.639,0.021,0.14,0
0.069,0.596,0.018,0.04,0
0.047,0.583,0.016,0.1,0
0.0785,0.534,0.021,0.34,0
0.0678,0.375,0.019,0.3,0
0.0543,0.587,0.015,0.19,0
0.0504,0.563,0.019,0.15,0
0.0522,0.507,0.02,0.08,0
0.0614,0.593,0.017,0,0
0.0549,0.543,0.019,0.39,0
0.0562,0.631,0.016,0,0
0.0457,0.575,0.021,0.19,0
0.0628,0.477,0.019,0,0
0.0817,0.516,0.018,0.03,0
0.0739,0.447,0.021,0,0
0.0474,0.48,0.018,0,0
0.0525,0.458,0.02,0.23,0
0.0726,0.506,0.017,0.17,0
0.0519,0.544,0.016,0.05,0
0.0764,0.568,0.024,0.04,0
0.0611,0.55,0.019,0.36,0
0.0473,0.531,0.02,0,0
0.0815,0.431,0.018,0.28,0
0.0757,0.66,0.017,0.25,0
0.0763,0.402,0.022,0.39,0
0.0594,0.407,0.016,0,0
0.084,0.334,0.025,0.09,0
0.0417,0.634,0.046,0.15,0
0.0607,0.569,0.03,0.13,0
0.0508,0.36,0.019,0.32,0
0.0538,0.358,0.024,0.22,0
0.055,0.468,0.217,0.03,0
0.0729,0.558,0.034,0.38,0
0.0551,0.54,0.018,0.41,0
0.0616,0.627,0.018,0.03,0
0.0758,0.591,0.018,0.22,0
0.0678,0.452,0.026,0.17,0
0.053,0.45,0.025,0.06,0
0.0632,0.483,0.019,0.03,0
0.0781,0.549,0.019,0.16,0
0.0808,0.518,0.022,0.15,0
0.0694,0.539,0.016,0.03,0
0.0665,0.581,0.179,0.01,0
0.0709,0.434,0.018,0,0
0.0801,0.454,0.018,0,0
0.0826,0.627,0.019,0.5,0
0.0739,0.547,0.023,0.09,0
0.0709,0.567,0.021,0.07,0
0.0777,0.587,0.017,0.07,0
0.0634,0.588,0.017,0.41,0
0.0619,0.597,0.016,0.35,0
0.0489,0.485,0.017,0.31,0
0.0399,0.456,0.016,0.25,0
0.0825,0.498,0.021,0.17,0
0.0676,0.503,0.023,0.05,0
0.0676,0.495,0.018,0.13,0
0.041,0.569,0.017,0.27,0
0.0422,0.578,0.018,0.21,0
0.0423,0.454,0.017,0,0
0.0708,0.612,0.016,0.32,0
0.0384,0.511,0.015,0.21,0
0.0504,0.578,0.016,0.41,0
0.0736,0.5,0.017,0.16,0
0.0365,0.581,0.021,0.27,0
0.0576,0.357,0.018,0.36,0
0.0662,0.646,0.017,0.19,0
0.0439,0.471,0.018,0.32,0
0.0668,0.556,0.018,0.05,0
0.0337,0.549,0.016,0.33,0
0.0726,0.453,0.018,0.02,0
0.0526,0.491,0.029,0.21,0
0.047,0.489,0.024,0.25,0
0.0452,0.631,0.016,0.21,0
0.0467,0.347,0.015,0.08,0
0.0454,0.377,0.18,0.17,0
0.0361,0.536,0.015,0,0
0.0376,0.514,0.017,0.2,0
0.0793,0.589,0.018,0.42,0
0.0813,0.331,0.023,0,0
0.0513,0.51,0.017,0.11,0
0.0591,0.533,0.016,0.3,0
0.0514,0.572,0.017,0.09,0
0.0386,0.516,0.016,0,0
0.0761,0.58,0.024,0.01,0
0.065,0.424,0.019,0.02,0
0.0674,0.388,0.024,0.27,0
0.0494,0.466,0.022,0.14,0
0.0491,0.565,0.016,0,0
0.0439,0.578,0.017,0.09,0
0.0733,0.466,0.128,0.31,0
0.0752,0.438,0.018,0.2,0
0.0804,0.374,0.033,0,0
0.0451,0.474,0.019,0.08,0
0.0755,0.612,0.017,0.07,0
0.0568,0.59,0.019,0.22,0
0.0732,0.485,0.02,0.25,0
0.0742,0.446,0.03,0.09,0
0.0823,0.524,0.018,0.02,0
0.0771,0.559,0.019,0.27,0
0.0795,0.658,0.018,0.4,0
0.0706,0.521,0.016,0.1,0
0.0781,0.413,0.036,0.34,0
0.0776,0.602,0.019,0.37,0
0.0619,0.559,0.016,0.42,0
0.0758,0.568,0.018,0.23,0
0.0772,0.422,0.025,0.01,0
0.0795,0.443,0.019,0.07,0
0.0706,0.425,0.025,0,0
0.0423,0.523,0.021,0.09,0
0.0713,0.569,0.033,0.06,0
0.0735,0.344,0.022,0.08,0
0.0455,0.486,0.019,0.06,0
0.0477,0.579,0.016,0.29,0
0.0301,0.612,0.017,0,0
0.0426,0.469,0.016,0.18,0
0.0427,0.42,0.017,0.11,0
0.0615,0.489,0.024,0,0
0.0714,0.469,0.019,0.31,0
0.0311,0.58,0.052,0.14,0
0.0588,0.447,0.018,0.43,0
0.0491,0.503,0.017,0,0
0.0449,0.555,0.016,0.26,0
0.0514,0.587,0.017,0.43,0
0.0636,0.54,0.017,0.15,0
0.0548,0.455,0.021,0.25,0
0.0455,0.536,0.016,0,0
0.0559,0.505,0.02,0.19,0
0.0639,0.567,0.019,0.34,0
0.0785,0.531,0.018,0.13,0
0.0512,0.452,0.019,0,0
0.0777,0.449,0.024,0.07,0
0.0695,0.618,0.017,0.11,0
0.0775,0.449,0.018,0,0
0.0463,0.566,0.017,0,0
0.0769,0.473,0.029,0.48,0
0.0516,0.452,0.017,0.05,0
0.0819,0.587,0.02,0.2,0
0.033,0.529,0.021,0.01,0
0.0458,0.496,0.015,0.09,0
0.0759,0.569,0.017,0,0
0.034,0.487,0.017,0.25,0
0.0425,0.429,0.018,0.02,0
0.0599,0.48,0.023,0,0
0.0772,0.555,0.021,0,0
0.0575,0.64,0.016,0,0
0.0567,0.521,0.015,0.39,0
0.0622,0.526,0.016,0.2,0
0.058,0.457,0.027,0.4,0
0.0304,0.465,0.02,0.2,0
0.0474,0.527,0.015,0.05,0
0.0703,0.403,0.019,0.23,0
0.046,0.502,0.016,0.41,0
0.0732,0.589,0.016,0.25,0
0.0724,0.565,0.016,0.2,0
0.0342,0.54,0.018,0.12,0
0.0421,0.365,0.021,0.12,0
0.0343,0.487,0.016,0.4,0
0.0617,0.409,0.017,0.24,0
0.0499,0.445,0.018,0.06,0
0.0433,0.625,0.016,0.35,0
0.0782,0.495,0.023,0.1,0
0.0672,0.543,0.021,0.18,0
0.0797,0.588,0.022,0.12,0
0.0342,0.54,0.041,0.25,0
0.0503,0.486,0.018,0.02,0
0.05,0.632,0.016,0.09,0
0.0611,0.592,0.024,0.4,0
0.0767,0.449,0.016,0.43,0
0.0512,0.455,0.017,0.13,0
0.0334,0.541,0.016,0,0
0.0725,0.511,0.024,0.28,0
0.0812,0.528,0.02,0.08,0
0.083,0.463,0.031,0,0
0.0629,0.622,0.029,0.21,0
0.0496,0.554,0.018,0.01,0
0.0471,0.464,0.017,0.29,0
0.0476,0.598,0.016,0.37,0
0.0495,0.438,0.018,0,0
0.0475,0.566,0.016,0.24,0
0.0487,0.526,0.017,0,0
0.0519,0.506,0.017,0,0
0.0667,0.478,0.016,0,0
0.0548,0.529,0.021,0.11,0
0.0606,0.578,0.022,0,0
0.0431,0.47,0.019,0,0
0.0625,0.577,0.022,0.1,0
0.0477,0.514,0.015,0.45,0
0.0412,0.583,0.019,0.04,0
0.0606,0.566,0.017,0.29,0
0.0516,0.565,0.075,0,0
0.0668,0.479,0.016,0.3,0
0.0627,0.343,0.027,0.3,0
0.0744,0.514,0.02,0,0
0.0757,0.56,0.017,0.24,0
0.0346,0.565,0.016,0,0
0.0344,0.373,0.017,0.17,0
0.0848,0.587,0.018,0.2,0
0.0489,0.501,0.018,0.02,0
0.0674,0.531,0.019,0,0
0.0434,0.525,0.018,0.25,0
0.0451,0.572,0.018,0,0
0.0603,0.384,0.023,0.02,0
0.0438,0.526,0.021,0.22,0
0.042,0.53,0.033,0.16,0
0.064,0.542,0.324,0.21,0
0.0715,0.557,0.017,0.1,0
0.0632,0.511,0.018,0.04,0
0.0717,0.56,0.02,0.17,0
0.051,0.485,0.019,0.02,0
0.0369,0.583,0.018,0,0
0.0504,0.411,0.021,0.4,0
0.0705,0.478,0.029,0,0
0.0492,0.654,0.016,0.08,0
0.0433,0.576,0.015,0.19,0
0.0404,0.458,0.016,0.05,0
0.0478,0.608,0.027,0.11,0
0.049,0.612,0.019,0,0
0.0422,0.458,0.023,0.18,0
0.0805,0.487,0.032,0.24,0
0.0705,0.552,0.039,0,0
0.044,0.558,0.017,0.1,0
0.043,0.508,0.015,0.07,0
0.0526,0.462,0.016,0.1,0
0.0832,0.641,0.022,0.18,0
0.0451,0.438,0.017,0.34,0
0.0448,0.528,0.017,0.03,0
0.0486,0.481,0.026,0.04,0
0.0381,0.434,0.017,0,0
0.076,0.491,0.018,0.18,0
0.0338,0.49,0.236,0.09,0
0.0461,0.602,0.015,0.03,0
0.0845,0.547,0.018,0.06,0
0.047,0.57,0.018,0.17,0
0.0778,0.308,0.022,0.25,0
0.0444,0.57,0.02,0.23,0
0.0487,0.63,0.039,0.01,0
0.0596,0.617,0.023,0.15,0
0.0474,0.508,0.027,0.17,0
0.0793,0.641,0.022,0.49,0
0.0778,0.465,0.025,0,0
0.0495,0.488,0.025,0.07,0
0.0821,0.481,0.02,0.1,0
0.0715,0.561,0.018,0.14,0
0.0721,0.52,0.027,0.37,0
0.0507,0.54,0.017,0.19,0
0.0437,0.476,0.016,0.05,0
0.085,0.484,0.022,0,0
0.0521,0.502,0.017,0.32,0
0.0429,0.48,0.016,0.27,0
0.0513,0.585,0.016,0.43,0
0.0568,0.511,0.017,0.01,0
0.0618,0.668,0.016,0.45,0
0.0332,0.47,0.015,0.21,0
0.0734,0.468,0.021,0.26,0
0.0767,0.615,0.017,0.5,0
0.0346,0.671,0.015,0.37,0
0.0598,0.4,0.021,0.16,0
0.0436,0.551,0.015,0.11,0
0.0618,0.581,0.015,0,0
0.0589,0.522,0.017,0.39,0
0.0343,0.46,0.018,0,0
0.0637,0.619,0.016,0.09,0
0.0738,0.541,0.018,0.01,0
0.0719,0.612,0.017,0.33,0
0.0824,0.584,0.026,0.13,0
0.0332,0.589,0.015,0.22,0
0.0648,0.578,0.016,0.04,0
0.034,0.55,0.015,0.21,0
0.0439,0.469,0.016,0.14,0
0.0624,0.635,0.022,0.17,0
0.0792,0.576,0.015,0.18,0
0.0519,0.456,0.021,0.41,0
0.0755,0.36,0.023,0.14,0
0.0739,0.496,0.017,0.02,0
0.0695,0.477,0.023,0,0
0.0475,0.432,0.057,0.08,0
0.0682,0.306,0.025,0.27,0
0.065,0.49,0.018,0.08,0
0.0382,0.564,0.016,0,0
0.0592,0.484,0.018,0,0
0.0649,0.562,0.02,0,0
