"redshift","g.r","g.r_err","fracdeV","type"
0.079,0.68,0.02,0.19,1
0.0609,0.669,0.016,0.4,1
0.0429,0.659,0.015,0.45,1
0.0374,0.728,0.021,0.01,1
0.0444,0.683,0.015,0.26,1
0.0742,0.681,0.017,0.5,1
0.0671,0.665,0.019,0.13,1
0.0335,0.795,0.017,0.48,1
0.0826,0.675,0.018,0.36,1
0.0684,0.697,0.016,0.5,1
0.0717,0.7,0.02,0.28,1
0.0359,0.692,0.041,0.46,1
0.0631,0.663,0.016,0.34,1
0.0374,0.675,0.103,0.31,1
0.0843,0.679,0.019,0.43,1
0.0586,0.666,0.016,0.17,1
0.0789,0.687,0.018,0.5,1
0.0784,0.728,0.017,0.44,1
0.0344,0.8,0.019,0.43,1
0.078,0.729,0.017,0.43,1
0.0729,0.69,0.019,0.43,1
0.0515,0.672,0.019,0.13,1
0.0606,0.703,0.017,0.48,1
0.04,0.683,0.017,0.45,1
0.0573,0.734,0.019,0.46,1
0.0785,0.688,0.016,0.09,1
0.04,0.675,0.016,0.37,1
0.0797,0.682,0.021,0.38,1
0.0677,0.739,0.016,0.46,1
0.0773,0.675,0.018,0.16,1
0.0808,0.729,0.018,0.45,1
0.0655,0.697,0.016,0.5,1
0.0664,0.685,0.016,0.43,1
0.0832,0.702,0.017,0.4,1
0.0565,0.668,0.017,0.47,1
0.0701,0.822,0.018,0.45,1
0.0543,0.708,0.017,0.48,1
0.0718,0.658,0.019,0.31,1
0.055,0.7,0.02,0.18,1
0.0685,0.675,0.017,0.41,1
0.0569,0.672,0.016,0.49,1
0.0738,0.755,0.021,0.39,1
0.0586,0.661,0.018,0.25,1
0.0728,0.687,0.022,0.36,1
0.077,0.688,0.022,0.46,1
0.0487,0.668,0.017,0.28,1
0.0373,0.672,0.015,0.5,1
0.0706,0.739,0.019,0.4,1
0.0572,0.672,0.016,0.45,1
0.0518,0.753,0.019,0.48,1
0.0793,0.778,0.015,0.5,1
0.0429,0.736,0.036,0.11,1
0.0804,0.68,0.017,0.44,1
0.0428,0.67,0.016,0.15,1
0.0508,0.672,0.016,0.12,1
0.0781,0.679,0.019,0.4,1
0.0786,0.725,0.017,0.27,1
0.0599,0.692,0.015,0.42,1
0.0506,0.7,0.016,0.42,1
0.0451,0.679,0.015,0.47,1
0.0367,0.649,0.016,0.36,1
0.0781,0.75,0.016,0.47,1
0.0632,0.678,0.06,0.22,1
0.0328,0.677,0.015,0.47,1
0.0315,0.679,0.016,0.26,1
0.0485,0.668,0.017,0.49,1
0.083,0.763,0.016,0.47,1
0.0381,0.691,0.018,0.4,1
0.0745,0.661,0.019,0.47,1
0.0387,0.658,0.016,0.1,1
0.0672,0.646,0.021,0.25,1
0.0539,0.691,0.017,0.2,1
0.0655,0.665,0.018,0.48,1
