NSAID,RA,DEC,DISTANCE,DISTANCE_ERR,INCLINATION,V_W20I,V_W20I_ERR,R_EFF,R_EFF_ERR,M_HI,M_HI_ERR,M_STAR,M_STAR_ERR,SOURCE
73406,16:09:20.78,+08:45:47.06,41.36514663696289,1.7148631811141968,44,68.66295623779297,2.167517900466919,4.218721,0.17489432,5.1763661E9,8.9477376E8,5.0531676E9,2.32748902E9,"           2"
73431,16:16:12.99,+07:30:20.70,146.4796142578125,2.143744945526123,67,170.15159606933594,33.74977493286133,4.450119,0.06512797,5.7898906E9,1.70148416E9,4.23949926E9,1.95271334E9,"           2"
73437,16:20:09.17,+06:35:38.87,126.377197265625,2.143744945526123,57,126.03746032714844,2.390336275100708,7.358897,0.12482947,1.58813092E10,1.37003738E9,6.7089039E9,3.09012122E9,"           2"
73440,16:25:03.35,+07:04:02.99,212.2573699951172,2.143744945526123,18,91.7503890991211,14.183953285217285,0.99518526,0.010051115,5.0608307E9,1.35778918E9,5.7968261E9,2.6700183E9,"           2"
73456,16:19:28.60,+07:16:43.59,127.93551635742188,2.143744945526123,77,278.55902099609375,118.98611450195312,11.202355,0.18771169,1.18315428E10,8.7422495E9,9.5068971E10,4.3788767E10,"           2"
73745,08:57:42.27,+09:46:18.16,164.3408660888672,2.143744945526123,58,114.92011260986328,17.12074851989746,3.9216409,0.051155858,7.8296013E9,1.81164774E9,2.25672397E9,1.03944704E9,"           2"
73754,08:56:52.62,+10:22:41.75,122.25696563720703,2.143744945526123,15,116.43839263916016,7.602490425109863,4.2466297,0.07446357,4.7925827E9,5.9099443E8,1.69509366E10,7.8076012E9,"           2"
73768,09:03:11.26,+10:09:07.16,127.9128189086914,2.143744945526123,29,253.71826171875,77.01742553710938,9.334498,0.15644078,9.0155213E9,2.6524457E9,2.9233922E10,1.34651443E10,"           2"
73773,09:05:15.69,+10:02:33.72,32.61227035522461,2.358211040496826,53,55.35471725463867,4.383427143096924,0.5451241,0.03941822,7.5311184E7,2.3158904E7,1.9267836E7,8874765.0,"           1"
73775,09:15:49.46,+09:38:50.88,42.58250427246094,1.9650360345840454,66,49.9731559753418,5.481386661529541,0.8396478,0.03874686,2.19339168E8,5.2383476E7,4.5344652E7,2.0885748E7,"           1"
73776,09:16:47.61,+09:53:28.79,79.8773422241211,1.2503159046173096,78,165.24880981445312,1.533298373222351,5.504402,0.08616012,8.9384786E9,6.657824E8,9.3430477E9,4.3034076E9,"           2"
73819,09:26:57.99,+10:03:00.83,80.24938201904297,1.2145848274230957,53,81.33995056152344,4.3570356369018555,3.0913656,0.04678822,3.0245609E9,3.24555392E8,5.33063552E8,2.45529072E8,"           2"
73836,09:21:15.56,+10:17:41.09,172.21719360351562,2.143744945526123,11,258.8426818847656,50.76628112792969,3.8536818,0.047970302,6.117994E9,1.53106432E9,6.0407218E10,2.78235648E10,"           2"
73852,09:21:31.90,+11:20:48.20,83.25907135009766,1.2860475778579712,60,99.26136016845703,9.769091606140137,3.4481246,0.053260893,2.17854566E9,3.15521472E8,9.7966246E8,4.51232512E8,"           2"
73889,09:33:44.99,+10:50:26.39,83.72583770751953,1.321779727935791,46,98.60639953613281,1.3957167863845825,5.7413034,0.09063796,4.9575946E9,3.88171904E8,1.04603802E9,4.8180512E8,"           2"
73907,09:33:28.90,+11:43:45.57,189.60186767578125,2.143744945526123,61,163.53369140625,6.318999290466309,9.600665,0.10855049,1.42297334E10,1.65562381E9,1.56002806E10,7.1854894E9,"           2"
73914,09:36:53.44,+11:43:00.94,123.92843627929688,2.143744945526123,16,143.80490112304688,10.958422660827637,3.4874837,0.060327362,3.43593139E9,4.81370304E8,7.2176937E9,3.32446976E9,"           2"
73922,09:48:49.77,+10:59:24.70,206.08509826660156,2.143744945526123,72,304.3697814941406,49.95346450805664,10.575942,0.110013396,2.80778097E10,6.7243095E9,8.0870334E10,3.7248877E10,"           2"
73943,09:44:30.24,+11:16:44.25,119.06167602539062,2.143744945526123,56,74.77688598632812,4.202510356903076,6.5104513,0.11722282,2.79301658E9,5.25452192E8,1.71092352E9,7.8805139E8,"           2"
