"bpt","logM200","r_r200","zoo"
1,0.520695701,-0.930518277,"E"
0,0.924663306,-0.942560182,"E"
0,0.252372644,-0.59547146,"E"
1,-0.330729918,-0.901654602,"E"
1,-0.547768092,-0.860955796,"E"
1,-0.547768092,-0.725501154,"E"
1,-1.38864013,-0.620128496,"E"
0,1.097762717,-0.380542593,"E"
1,1.156704119,-0.930283975,"E"
0,1.156704119,-0.982894734,"E"
1,1.156704119,-0.904886729,"E"
1,0.219780704,-0.623920858,"E"
1,0.219780704,-0.722848526,"E"
1,0.176152341,-0.782713876,"E"
0,-1.097864848,-0.312580496,"E"
0,0.224402207,-0.438262047,"E"
1,-1.099382356,-1.002063567,"E"
0,-1.099382356,-0.990499181,"E"
1,-0.285032225,-0.838373864,"E"
1,-0.285032225,-0.694246916,"E"
0,0.822369451,-0.992099001,"E"
1,0.830888191,-1.033973099,"E"
1,0.830888191,-0.854206819,"E"
1,-1.228956871,-0.962183159,"E"
0,1.20978242,-0.569744379,"E"
1,1.453997789,-0.806820015,"E"
0,1.453997789,-0.701084779,"E"
1,0.143387957,-0.721460236,"E"
0,-1.416610567,-0.839193966,"E"
0,-1.416610567,-0.850539537,"E"
0,-0.304139034,-0.997409724,"E"
1,0.572566893,-0.900370362,"E"
1,0.338008396,-0.953300344,"E"
0,-1.139320415,-0.984911719,"E"
0,0.338008396,-0.84460992,"E"
0,0.515143,-0.9750502,"E"
0,0.774740384,-0.655912658,"E"
1,0.774740384,-0.360461111,"E"
1,1.491694074,-1.033341461,"E"
1,0.338008396,-0.709690456,"E"
1,-0.324866817,-0.542532014,"E"
0,1.904076952,-0.600029232,"E"
1,-0.813952842,-0.948616008,"E"
0,-0.813952842,-0.775880925,"E"
1,-1.160841442,-0.938867148,"E"
0,0.924663306,-0.257707514,"E"
0,-0.580187587,-0.911325391,"E"
1,-0.142179512,-0.742190471,"E"
1,-0.142179512,-0.336267371,"E"
0,-0.580187587,-0.840656908,"E"
1,-0.193360928,-1.00835164,"E"
0,1.003263337,-1.002030369,"E"
0,0.860341647,-0.681827261,"E"
0,-1.286829119,-1.022165796,"E"
0,0.680827314,-0.734035783,"E"
1,0.009709272,-0.553074456,"E"
0,-1.304073531,-0.6484378,"E"
1,-1.23426815,-0.773628868,"E"
0,-0.494931212,-0.863449908,"E"
0,0.609538913,-0.863582549,"E"
1,0.508245235,-0.848890047,"E"
0,0.714350452,-0.56291175,"E"
1,0.401088456,-0.66287822,"E"
1,0.366082299,-0.848644696,"E"
1,0.366082299,-0.938485477,"E"
0,0.366082299,-0.888018985,"E"
0,1.313145428,-0.608165472,"E"
1,-0.534524383,-0.809827213,"E"
0,2.190851531,-0.953744452,"E"
0,-1.39126128,-0.807818719,"E"
1,-0.389257453,-1.03898926,"E"
1,-1.175706125,-0.969221503,"E"
0,-1.335423873,-0.996888161,"E"
0,-0.974601788,-0.619222222,"E"
0,-0.522694716,-0.921241736,"E"
1,-0.227194465,-0.82519528,"E"
0,-1.337734624,-0.743051831,"E"
0,1.010850879,-0.946712243,"E"
0,1.010850879,-0.909407931,"E"
0,1.010850879,-0.802773201,"E"
0,1.010850879,-0.420028105,"E"
0,-0.946734817,-0.92900496,"E"
1,-1.488209367,-0.871848871,"E"
1,1.546289884,-0.770167256,"E"
