"CID","IAUName","Type","z","Color","e_Color","Stretch","e_Stretch","HR","e_HR","DR8-OBJID","BPT","LogMass","e_LogMass","LogMet","e_LogMet","LogSSFR","e_LogSSFR","GFF","Source"
18283,"...","P",0.3,0.12,0.07,-1.7,0.65,-0.44,0.22,1237657070090781184,2,11.03,0.07,9.13,0.03,-9.44,0.07,0.28,"BOSS"
18323,"2007kx","S",0.15,-0.04,0.03,0.21,0.22,0.16,0.08,1237657191980466944,1,9.36,0.09,8.62,0.11,-9.36,0.11,0.35,"BOSS"
18324,"...","P",0.27,0.08,0.06,-0.45,0.61,-0.11,0.2,1237678434327921408,0,9.78,0.16,251.83,341.32,-10.68,0.8,0.44,"BOSS"
18325,"2007mv","S",0.26,-0.07,0.04,0.41,0.39,0.05,0.13,1237657191445954816,10,11.51,0.15,8.79,0.08,-9.74,0.15,0.18,"BOSS"
18333,"...","P",0.25,0.16,0.06,-0.87,0.6,-0.28,0.19,1237666340800823552,1,10.49,0.08,8.94,0.03,-9.32,0.09,0.28,"BOSS"
18362,"...","P",0.24,0.02,0.05,-1.04,0.42,-0.06,0.15,1237657190909673728,1,10.72,0.09,8.93,0.06,-9.84,0.1,0.32,"BOSS"
18415,"2007la","S",0.13,-0.09,0.03,-1.63,0.17,0.04,0.07,1237678617407979776,3,10.99,0.09,-999,-999,-999,-999,0.43,"SDSS"
18456,"2007lk","S",0.22,0.05,0.03,0.56,0.33,-0.26,0.1,1237663783673397504,10,10.79,0.12,8.96,0.07,-10.82,0.14,0.35,"BOSS"
18463,"2007kv","S",0.27,-0.03,0.04,0.97,0.42,-0.02,0.14,1237663784741961984,1,10.24,0.1,9.02,0.04,-9.47,0.11,0.33,"BOSS"
18588,"...","P",0.25,0.17,0.07,1.53,1.02,0.4,0.25,1237660024494358784,1,9.59,0.08,8.64,0.08,-8.51,0.09,0.36,"BOSS"
18602,"2007lo","S",0.14,0.06,0.03,0.91,0.19,0.06,0.07,1237663479798104832,3,9.3,0.11,-999,-999,-999,-999,0.31,"BOSS"
18604,"2007lp","S",0.18,-0.04,0.03,-2.1,0.22,0.17,0.07,1237663479798956288,3,11.05,0.08,-999,-999,-999,-999,0.32,"BOSS"
18650,"2007lt","S",0.11,-0.04,0.02,0.89,0.12,0.15,0.06,1237663479256646144,0,8.91,0.08,8.53,0.12,-9.41,0.09,0.38,"BOSS"
18697,"2007ma","S",0.11,0,0.02,0.75,0.12,-0.05,0.06,1237657189836390656,1,10.52,0.05,8.97,0.03,-9.58,0.05,0.26,"SDSS"
18740,"2007mc","S",0.15,0.03,0.02,-0.04,0.13,-0.16,0.06,1237663785278505216,1,10.66,0.09,8.92,0.07,-9.67,0.09,0.19,"BOSS"
