"name","zcmb","zhel","dz","mb","dmb","x1","dx1","color","dcolor","X3rdvar","d3rdvar","tmax","dtmax","cov_m_s","cov_m_c","cov_s_c","set","ra","dec","biascor"
"SDSS15466",0.24568,0.247,0,21.326555,0.120181,-1.061965,0.391983,0.027935,0.046676,10.482,0.3565,54036.652006,0.35302,0.01034,0.001477,0.003449,2,-42.354958,-0.12322,-0.000541
"SDSS15467",0.2091,0.21041,0,20.592027,0.115699,0.80126,0.260652,-0.067945,0.03346,10.402,0.25,54038.902146,0.194597,0.005697,0.000954,0.002154,2,-39.980064,-0.177441,-0.000865
"SDSS15504",0.24947,0.251,0,21.852696,0.131353,2.33717,0.726209,0.205582,0.057909,10.727,0.1055,54039.808975,0.570462,0.040892,0.002883,0.017225,2,-14.298554,-0.876422,-0.000507
"SDSS15508",0.13392,0.135,0,19.607858,0.111798,0.882983,0.10433,-0.059231,0.02227,9.879,0.261,54041.562599,0.091954,0.000609,0.000469,0.000273,2,27.168976,-0.576611,-0.001244
"SDSS15583",0.17706,0.178,0,20.736464,0.113873,-0.296321,0.205496,0.025339,0.030116,9.039,0.3355,54041.009004,0.189287,0.002797,0.000735,0.001257,2,37.731079,0.946299,-0.001104
"SDSS15584",0.28111,0.282,0,21.439311,0.11753,0.314981,0.404869,-0.044998,0.044132,10.623,0.0335,54038.128868,0.391269,0.008833,0.001045,0.003416,2,43.495464,0.986965,-0.000259
"SDSS15648",0.17383,0.17502,0,21.032398,0.122163,-1.45375,0.357753,0.113585,0.043923,11.175,0.1235,54042.568941,0.290054,0.012903,0.001872,0.006138,2,-46.281616,-0.194823,-0.001123
"SDSS15674",0.19654,0.198,0,21.017687,0.117701,-0.343601,0.301808,0.004228,0.037156,5,10,54040.283234,0.233265,0.008012,0.001193,0.003642,2,-19.170843,0.262909,-0.000968
"SDSS15704",0.36397,0.365,0,22.059517,0.127982,-0.04859,0.70192,-0.17136,0.055876,10.679,0.169,54043.002778,0.685907,0.027972,0.00089,0.014683,2,40.210735,0.658751,-0.000211
"SDSS15756",0.37835,0.38,0,22.421908,0.135103,-0.960604,0.712176,-0.250149,0.06055,11.371,0.094,54035.760135,0.821046,0.02935,-0.000107,0.008533,2,0.374834,0.275974,-0.000349
"SDSS15776",0.31646,0.3176,0,21.846724,0.121555,-2.281762,0.560543,-0.146321,0.049708,10.899,0.005,54033.830189,0.490027,0.01616,0.000877,0.00637,2,32.829441,-0.998258,-9.6e-05
"SDSS1580",0.18322,0.184,0,20.272733,0.114206,0.879572,0.228368,-0.038487,0.027067,11.198,0.162,53634.026193,0.205026,0.003957,0.000672,0.000584,2,45.323063,-0.644066,-0.001065
"SDSS15868",0.24102,0.242,0,21.005963,0.116005,0.328735,0.264211,-0.140847,0.037003,10.417,0.046,54044.253909,0.220235,0.005325,0.000998,0.001937,2,38.099796,-0.713578,-0.000582
"SDSS15872",0.20203,0.203,0,20.556408,0.117009,0.781434,0.308151,-0.064131,0.035853,9.304,0.135,54047.769325,0.205691,0.008139,0.001205,0.003642,2,36.722496,-0.32781,-0.000924
"SDSS15897",0.16869,0.17,0,20.889914,0.116161,-2.457456,0.260674,0.015791,0.036647,10.655,0.048,54041.523636,0.222584,0.003928,0.001095,0.001464,2,11.68145,-1.032905,-0.001151
"SDSS15901",0.19794,0.199,0,20.774797,0.114551,0.0302,0.255743,-0.040623,0.029762,9.669,0.3345,54045.458248,0.203833,0.00462,0.000779,0.001974,2,31.976303,-0.535389,-0.000957
"SDSS16021",0.12276,0.124,0,19.61767,0.112478,-0.34698,0.12682,-0.038204,0.023745,9.842,0.114,54049.119852,0.113526,0.001342,0.00057,0.000751,2,13.843731,-0.388811,-0.001229
"SDSS16032",0.20318,0.204,0,20.758955,0.114994,-0.819482,0.239931,-0.10857,0.033663,5,10,54046.404693,0.178185,0.004069,0.000914,0.001638,2,44.069218,-0.410771,-0.000914
"SDSS16069",0.12739,0.12877,0,20.104432,0.113191,0.878535,0.217333,0.15663,0.026638,10.98,0.2505,54050.75667,0.185417,0.002579,0.000714,0.001592,2,-18.753925,-1.006598,-0.001238
"SDSS16072",0.27549,0.277,0,21.533317,0.127184,0.275684,0.624905,-0.016258,0.053694,10.64,0.0065,54046.850417,0.490002,0.030689,0.002286,0.013875,2,3.12444,-0.977309,-0.000298
"SDSS16073",0.14468,0.146,0,20.257201,0.112388,0.723179,0.185303,-0.006892,0.024196,9.779,0.152,54051.434569,0.157008,0.001746,0.000569,0.000895,2,8.107763,-1.054001,-0.001236
"SDSS16093",0.33436,0.336,0,21.862025,0.132618,1.029207,0.735059,-0.063637,0.055995,10.107,0.415,54045.023346,0.638371,0.0423,0.001527,0.011413,2,-9.637529,1.132483,-8.5e-05
"SDSS16099",0.1958,0.19695,0,20.704275,0.113084,2.030525,0.369443,0.023292,0.026103,10.365,0.0775,54054.439105,0.307148,0.005445,0.000622,0.002735,2,26.420935,-1.054386,-0.000973
"SDSS16100",0.19392,0.195,0,21.065011,0.117691,-0.393434,0.350479,0.05151,0.037507,9.122,0.6465,54048.043112,0.255318,0.009565,0.001277,0.00481,2,30.436289,-1.03241,-0.000988
"SDSS16106",0.24973,0.2512,0,21.02095,0.120462,-0.628986,0.364023,-0.150136,0.047564,10.831,0.096,54045.424735,0.303232,0.011843,0.001547,0.005396,2,-27.910652,-1.148781,-0.000505
"SDSS16116",0.1486,0.15,0,19.970319,0.112448,0.508881,0.286742,-0.097611,0.024792,9.512,0.0895,54053.281814,0.232875,0.003219,0.000562,0.002271,2,-4.69799,-1.105807,-0.001228
"SDSS16165",0.15596,0.157,0,20.146078,0.112725,0.344199,0.222938,-0.032,0.024798,5,10,54052.896254,0.192094,0.002637,0.000594,0.001305,2,30.733135,-0.533872,-0.001206
"SDSS16185",0.09582,0.097,0,19.773444,0.112716,-2.309599,0.224051,0.069933,0.025445,9.507,0.0095,54053.891092,0.146951,0.001706,0.000589,0.000816,2,16.868069,-0.269365,-0.001081
"SDSS16206",0.15065,0.152,0,20.403921,0.113842,-2.56543,0.550751,-0.008622,0.031343,10.684,0.025,54056.990454,0.248282,0.008228,0.000829,0.007441,2,5.78819,-0.053633,-0.001223
"SDSS16211",0.30933,0.31094,0,22.130926,0.137464,-1.964016,0.625845,0.004445,0.070422,11.226,0.005,54041.487206,0.575672,0.033017,0.00228,0.008643,2,-11.83591,0.266932,-0.000115
"SDSS16213",0.24857,0.25,0,21.127943,0.115731,0.279927,0.429849,-0.096848,0.03836,5,10,54053.580676,0.414496,0.007837,0.000993,0.003899,2,8.971051,0.258405,-0.000515
"SDSS16232",0.36554,0.367,0,22.13649,0.137024,-0.145799,0.82901,-0.111398,0.068462,10.504,0.105,54045.028681,0.842626,0.049056,0.002465,0.026024,2,17.20541,-0.989553,-0.000224
"SDSS16276",0.19176,0.193,0,20.740998,0.114367,-0.018646,0.551403,-0.026411,0.03185,8.82,0.348,54057.368692,0.3665,0.009763,0.000814,0.006101,2,20.578657,1.010615,-0.001004
"SDSS16281",0.18255,0.184,0,20.47384,0.114391,-0.873266,0.510227,-0.07317,0.032312,10.141,0.0435,54055.402926,0.345403,0.008315,0.000855,0.006058,2,-7.057849,-0.668052,-0.001069
"SDSS16350",0.23472,0.2361,0,21.130073,0.116813,-1.345527,0.544367,-0.090072,0.043795,10.525,0.069,54054.128124,0.441841,0.010202,0.001209,0.006173,2,-36.360512,-0.885831,-0.000638
